level,word,site_num_log_bing,site_num_log_yahoo,learning_level,site_num_log_google
9,perative,7.071882007,5.691965103,6.30444593,5.821513528
5,terri?c,7.075546961,7.705007959,6.30444593,7.670245853
1,till,7.250420002,9.012837225,1,9.012837225
3,whatever,7.158362492,8.853698212,2,8.851258349
1,the,8.033423755,10.40260524,1,10.40260524
1,an,7.579783597,10.24748226,1,10.1048284
5,congratulations,7.130333768,8.247973266,10,8.245512668
1,goodbye,7.096910013,7.986323777,4,8.008600172
6,alas,7.064457989,8.198657087,6.30444593,7.899820502
1,oh,7.28780173,9.012837225,1,9.008600172
1,hi,7.342422681,9.338456494,1,9.26245109
1,welcome,7.404833717,9.390935107,1,9.303196057
2,hey,7.170261715,8.983626287,2,8.572871602
1,hello,7.271841607,9.096910013,2,8.764176132
2,ah,7.212187604,8.925312091,3,8.806179974
5,farewell,7.068185862,8.049218023,4,7.957607287
7,amen,7.079181246,8.173186268,5,7.737987326
8,hurrah,6.021189299,6.86923172,7,7.025305865
9,ha,7.338456494,9.367355921,7,9.365487985
7,encore,7.146128036,8.478566496,8,8.462397998
10,gee,7.068185862,7.989004616,9,8.021189299
6,aha,7.071882007,8.004321374,9,7.935507266
1,shall,7.133538908,9.136720567,1,9.117271296
2,might,7.247973266,9.338456494,1,9.439332694
1,could,7.257678575,9.619093331,1,9.51054501
1,would,7.260071388,9.609594409,1,9.610660163
1,should,7.264817823,9.519827994,1,9.515873844
1,must,7.283301229,9.532754379,1,9.536558443
1,will,7.348304863,10.03261876,1,9.736396502
1,can,7.403120521,10.15654915,1,9.828015064
1,may,7.532754379,10.06669855,1,10.02734961
2,dare,7.103803721,8.960470778,2,8.352182518
2,ought,7.170261715,8.624282096,2,8.665580991
2,nor,7.139879086,8.797959644,1,9.041392685
3,although,7.187520721,9.008600172,1,9.359835482
2,whether,7.201397124,9.123851641,1,9.269512944
1,though,7.206825876,9.193124598,1,9.178976947
6,provided,7.212187604,9.342422681,1,9.328379603
1,because,7.235528447,9.584331224,1,9.525044807
1,while,7.267171728,9.7930916,1,9.574031268
1,than,7.294466226,9.784617293,1,9.6599162
1,since,7.294466226,9.45331834,1,9.396199347
1,but,7.309630167,9.966610987,1,9.742725131
1,if,7.369215857,9.833784375,1,9.824125834
1,or,7.779596491,10.08707121,1,10.09272064
1,and,8.053078443,10.40260524,1,10.40260524
3,wherever,7.113943352,8.260071388,2,8.541579244
2,unless,7.152288344,8.856124444,2,9.247973266
3,whenever,7.164352856,8.540329475,2,8.777426822
6,whereas,7.021189299,9.086359831,5,9.064457989
6,lest,7.029383778,8.064457989,5,8.305351369
6,providing,7.198657087,8.924795996,9,9.139879086
1,beside,7.075546961,8.352182518,1,8.330413773
1,toward,7.133538908,9.037426498,1,9.037426498
2,except,7.136720567,9.117271296,1,9.133538908
2,beyond,7.181843588,9.025305865,1,9.170261715
1,until,7.198657087,9.29666519,1,9.290034611
1,upon,7.201397124,9.33243846,1,9.315970345
1,among,7.204119983,9.096910013,1,9.271841607
1,above,7.212187604,9.285557309,1,9.372912003
1,across,7.212187604,9.330413773,1,9.33243846
1,along,7.225309282,9.250420002,1,9.23299611
1,during,7.235528447,9.526339277,1,9.514547753
1,between,7.240549248,9.505149978,1,9.514547753
2,within,7.240549248,9.511883361,1,9.574031268
